WobFile, WobURL, WobTitle, WobDate,PdfName, PdfUrl, PdfDate, Size, PdfTitle, PdfPages (meta), WordsPerPage
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,3 stukken Wob-verzoek Europees Herstelfonds (deel 2),https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/3-stukken-wob-verzoek-europees-herstelfonds-deel-2.pdf,16-11-2021,16 MB,,87 (87),222
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,3 stukken Wob-verzoek Europees Herstelfonds (deel 3),https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/3-stukken-wob-verzoek-europees-herstelfonds-deel-3.pdf,16-11-2021,26 MB,,82 (82),200
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,3 stukken Wob-verzoek Europees Herstelfonds (deel 4),https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/3-stukken-wob-verzoek-europees-herstelfonds-deel-4.pdf,16-11-2021,21 MB,,82 (82),205
0335b3f498dbbd7c537ad23abe8c08dc,https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,3 stukken Wob-verzoek Europees Herstelfonds (deel 5),https://wobcovid19.rijksoverheid.nl/publicaties/0335b3f498dbbd7c537ad23abe8c08dc/3-stukken-wob-verzoek-europees-herstelfonds-deel-5.pdf,16-11-2021,19 MB,,72 (72),248
7632148924fdc61f4d23c0bc96a61706,https://wobcovid19.rijksoverheid.nl/publicaties/7632148924fdc61f4d23c0bc96a61706/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,Deelbesluit 1 Wob-verzoek Europees Herstelfonds,https://wobcovid19.rijksoverheid.nl/publicaties/7632148924fdc61f4d23c0bc96a61706/deelbesluit-1-wob-verzoek-europees-herstelfonds.pdf,16-11-2021,397 kB,Besluit inzake WOB-verzoek Witteman (EU herstelfonds),14 (14),316
7632148924fdc61f4d23c0bc96a61706,https://wobcovid19.rijksoverheid.nl/publicaties/7632148924fdc61f4d23c0bc96a61706/,Deelbesluit 1 Wob-verzoek d.d. 11 augustus 2021 inzake het Europees Herstelfonds,11/16/2021 0:00,Bijlage III Deelbesluit 1 Wob-verzoek Europees Herstelfonds,https://wobcovid19.rijksoverheid.nl/publicaties/7632148924fdc61f4d23c0bc96a61706/bijlage-iii-deelbesluit-1-wob-verzoek-europees-herstelfonds.pdf,16-11-2021,32 MB,,335 (335),213
dc034afbaede3d587451c7062fd857e7,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/,Besluit op Wob verzoek inzake Europees Herstelfonds,11/16/2021 0:00,Besluit,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/besluit.pdf,16-11-2021,190 kB,,9 (9),397
dc034afbaede3d587451c7062fd857e7,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/,Besluit op Wob verzoek inzake Europees Herstelfonds,11/16/2021 0:00,B.1 Inventarislijst EU en B.2 Inventarislijst nationaal,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/b1-inventarislijst-eu-en-b2-inventarislijst-nationaal.pdf,16-11-2021,119 kB,,6 (6),146
dc034afbaede3d587451c7062fd857e7,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/,Besluit op Wob verzoek inzake Europees Herstelfonds,11/16/2021 0:00,Bijlage C.1 - Openbaar te maken documenten EU,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/bijlage-c1-openbaar-te-maken-documenten-eu.pdf,16-11-2021,14 MB,,57 (57),233
dc034afbaede3d587451c7062fd857e7,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/,Besluit op Wob verzoek inzake Europees Herstelfonds,11/16/2021 0:00,Bijlage C.2 - Openbaar te maken documenten nationaal,https://wobcovid19.rijksoverheid.nl/publicaties/dc034afbaede3d587451c7062fd857e7/bijlage-c2-openbaar-te-maken-documenten-nationaal.pdf,16-11-2021,26 MB,,80 (80),359
